observed_on,latitude,longitude,place_county_name,place_state_name,url,image_url,description
04/01/2019,-211.686.653.037,-427.738.943.245,Guidoval,Minas Gerais,https://www.inaturalist.org/observations/56541206,https://inaturalist-open-data.s3.amazonaws.com/photos/90110706/medium.jpeg,Grupo de 16 individuos
04/01/2019,-211.596.477.205,-427.047.330.476,Guidoval,Minas Gerais,https://www.inaturalist.org/observations/56541209,https://inaturalist-open-data.s3.amazonaws.com/photos/90110874/medium.jpeg,Grupo misto formado por auritas e híbridos
07/01/2019,-21.138.470.638,-427.339.607.819,Guidoval,Minas Gerais,https://www.inaturalist.org/observations/56539615,https://inaturalist-open-data.s3.amazonaws.com/photos/90107611/medium.jpeg,Grupo de três individuos
08/01/2019,-211.443.964.441,-427.237.200.874,Guidoval,Minas Gerais,https://www.inaturalist.org/observations/56536829,https://inaturalist-open-data.s3.amazonaws.com/photos/90104575/medium.jpeg,
21/02/2019,-210.216.606.838,-4.265.035.194,Guidoval,Minas Gerais,https://www.inaturalist.org/observations/54162202,https://inaturalist-open-data.s3.amazonaws.com/photos/86166813/medium.jpeg,
23/02/2019,-210.481.392.258,-426.456.061.294,Guidoval,Minas Gerais,https://www.inaturalist.org/observations/56529703,https://inaturalist-open-data.s3.amazonaws.com/photos/90092206/medium.jpeg,Grupo formado por 16 individuos
25/03/2019,-207.131.357.738,-428.152.924.306,Viçosa,Minas Gerais,https://www.inaturalist.org/observations/56528219,https://inaturalist-open-data.s3.amazonaws.com/photos/90089312/medium.jpeg,Grupo formado por dois auritas e dois híbridos
04/04/2019,-206.487.028.808,-429.974.602.485,Viçosa,Minas Gerais,https://www.inaturalist.org/observations/56526000,https://inaturalist-open-data.s3.amazonaws.com/photos/90086906/medium.jpeg,Grupo formado por dois auritas e dois híbridos
19/04/2019,-210.239.252.069,-426.791.270.374,Guidoval,Minas Gerais,https://www.inaturalist.org/observations/54204838,https://inaturalist-open-data.s3.amazonaws.com/photos/86238401/medium.jpeg,"Grupo composto na época por 16 indivíduos, sem presença de espécies invasoras"
19/04/2019,-210.805.253.738,-426.565.344.032,Guidoval,Minas Gerais,https://www.inaturalist.org/observations/56524433,https://inaturalist-open-data.s3.amazonaws.com/photos/90084106/medium.jpeg,Grupo com cerca de dez individuos
