id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
53431566,574767a9-5347-4720-84fc-98a934756fc9,2013/01/08 9:39 PM EST,2013-01-08,2013-01-09 02:39:00 UTC,Eastern Time (US & Canada),3113993,cotinga,,2020-07-18 02:11:49 UTC,2024-04-28 02:24:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/53431566,https://inaturalist-open-data.s3.amazonaws.com/photos/84981695/medium.jpg,,,,3,0,FALSE,,"Rio de Janeiro, BR",-218.828.903.465,-426.236.584.719,4000,,,,30338,,obscured,TRUE,,,,Sapucaia,Rio de Janeiro,Brazil,Rio de Janeiro,Sapucaia,kosman ušatý,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
54156135,681d18ac-35f9-4872-ac5e-11531bbed1bc,Tue Jul 21 2020 09:37:45 GMT-0300 (GMT-3),2020-07-21,2020-07-21 12:37:45 UTC,Brasilia,3374852,lucasmansilha,,2020-07-24 13:51:12 UTC,2020-12-10 09:20:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/54156135,https://inaturalist-open-data.s3.amazonaws.com/photos/86157909/medium.jpg,,,,1,0,FALSE,3,,,,140,,,,30217,private,obscured,TRUE,,,,,,,,,Sagui-da-serra-escuro,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
54160622,d9435ae9-9b32-4298-9d4c-4c5b0f48e21d,2018/12/21 4:19 PM -0200,2018-12-21,2018-12-21 18:19:00 UTC,Mid-Atlantic,838684,larissaavila,Larissa Vaccarini Ávila,2020-07-24 14:39:04 UTC,2024-04-28 02:04:36 UTC,research,CC-BY,https://www.inaturalist.org/observations/54160622,https://inaturalist-open-data.s3.amazonaws.com/photos/86157386/medium.jpeg,,,,2,0,FALSE,,"Rio de Janeiro, BR",-224.196.709.741,-433.084.343.277,5,,,,30278,,obscured,TRUE,,,,Petrópolis,Rio de Janeiro,Brazil,Rio de Janeiro,Petrópolis,Sagui-da-serra-escuro,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
54162202,54d4fe17-b778-4b6a-a980-cd1bdacf0e48,2019/02/21 4:53 PM -0300,2019-02-21,2019-02-21 19:53:00 UTC,Brasilia,838684,larissaavila,Larissa Vaccarini Ávila,2020-07-24 14:54:09 UTC,2021-08-03 00:54:51 UTC,research,CC-BY,https://www.inaturalist.org/observations/54162202,https://inaturalist-open-data.s3.amazonaws.com/photos/86166813/medium.jpeg,,,,6,0,FALSE,,"Minas Gerais, BR",-210.216.606.838,-4.265.035.194,1689,,,,30415,,obscured,TRUE,,,,Guidoval,Minas Gerais,Brazil,Minas Gerais,Guidoval,Sagui-da-serra-escuro,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
54203103,fccfd910-0ee7-40d6-b954-5618469c28a8,2020-06-07 3:03:08 PM GMT-03:00,2020-06-07,2020-06-07 18:03:08 UTC,Brasilia,984796,orlandovital,Orlando Vital,2020-07-24 21:35:57 UTC,2020-08-03 18:43:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/54203103,https://inaturalist-open-data.s3.amazonaws.com/photos/86235408/medium.jpeg,,,"Grupo de cerca de dez indivíduos, sem presença de espécies invasoras",3,0,FALSE,2,"Minas Gerais, BR",-211.468.529.165,-426.799.635.853,15,,,,30415,,obscured,TRUE,gps,gps,,Guidoval,Minas Gerais,Brazil,Minas Gerais,Guidoval,Sagui-da-Serra-Escuro,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
54204838,ff7d4387-007e-46de-be97-f5b75961cf20,2019-04-19 9:49:41 AM GMT-03:00,2019-04-19,2019-04-19 12:49:41 UTC,Brasilia,984796,orlandovital,Orlando Vital,2020-07-24 21:56:15 UTC,2020-07-25 22:14:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/54204838,https://inaturalist-open-data.s3.amazonaws.com/photos/86238401/medium.jpeg,,,"Grupo composto na época por 16 indivíduos, sem presença de espécies invasoras",4,0,FALSE,2,"Minas Gerais, BR",-210.239.252.069,-426.791.270.374,62,,,,30415,,obscured,TRUE,gps,gps,,Guidoval,Minas Gerais,Brazil,Minas Gerais,Guidoval,Sagui-da-Serra-Escuro,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
54205511,664711e6-c83c-452f-b358-1c90e9029c10,2020-05-03 3:29:20 PM GMT-03:00,2020-05-03,2020-05-03 18:29:20 UTC,Brasilia,984796,orlandovital,Orlando Vital,2020-07-24 22:04:11 UTC,2020-07-25 22:15:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/54205511,https://inaturalist-open-data.s3.amazonaws.com/photos/86239739/medium.jpeg,,,"Único indivíduo puro de um pequeno grupo formado por um infante de espécue ainda indeterminada e um híbrido, provavelmente um cruzamento entre Callithrix aurita e C. penicillata",4,0,FALSE,2,"Minas Gerais, BR",-210.828.037.247,-426.215.760.029,7,,,,30415,,obscured,TRUE,gps,gps,,Guidoval,Minas Gerais,Brazil,Minas Gerais,Guidoval,Sagui-da-Serra-Escuro,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
54206013,7f084a73-ea8e-4685-b80c-f906f90d3559,2018-05-22 8:23:52 AM GMT-03:00,2018-05-22,2018-05-22 11:23:52 UTC,Brasilia,984796,orlandovital,Orlando Vital,2020-07-24 22:08:54 UTC,2024-04-28 02:43:35 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/54206013,https://inaturalist-open-data.s3.amazonaws.com/photos/86240397/medium.jpeg,,,,3,0,FALSE,2,"Minas Gerais, BR",-207.743.199.265,-428.874.283.204,86,,,,30453,,obscured,TRUE,gps,gps,,Viçosa,Minas Gerais,Brazil,Minas Gerais,Viçosa,Sagui-da-Serra-Escuro,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
54294642,b53a9fa8-2d41-4184-bfbb-f0e8ab37339a,2020/06/21 3:38 PM -0300,2020-06-21,2020-06-21 18:38:00 UTC,Brasilia,984796,orlandovital,Orlando Vital,2020-07-25 17:45:06 UTC,2020-07-28 16:11:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/54294642,https://inaturalist-open-data.s3.amazonaws.com/photos/86384883/medium.jpeg,,,"Pequeno grupo formado por macho de Callithrx aurita, híbrido não fotografado e filhote que aparentemente se trata de um C. aurita.",3,0,FALSE,,"Minas Gerais, BR",-210.555.248.212,-427.803.222.567,8,,,,30415,,obscured,TRUE,,,,Guidoval,Minas Gerais,Brazil,Minas Gerais,Guidoval,Sagui-da-serra-escuro,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
54295370,f7aeb825-b64e-499b-a430-c5e78e0bca7a,2020/06/21 4:15 PM -0300,2020-06-21,2020-06-21 19:15:00 UTC,Brasilia,984796,orlandovital,Orlando Vital,2020-07-25 17:50:16 UTC,2020-07-28 16:11:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/54295370,https://inaturalist-open-data.s3.amazonaws.com/photos/86386904/medium.jpeg,,,"Grupo composto por mais de dez indivíduos, sem presença de espécies invasoras",2,0,FALSE,,"Minas Gerais, BR",-21.064.278.488,-427.787.936.264,4,,,,30415,,obscured,TRUE,,,,Guidoval,Minas Gerais,Brazil,Minas Gerais,Guidoval,Sagui-da-serra-escuro,Callithrix aurita,Sagui-da-serra-escuro,Mammalia,43375
